GEO_ID,NAME,H002001,H002001ERR,H002002,H002003,H002004,H002005,H002006
1400000US24005402603,"Census Tract 4026.03, Baltimore County, Maryland",2484,null,2484,2484,0,0,0
1400000US24005402604,"Census Tract 4026.04, Baltimore County, Maryland",2201,null,2201,2201,0,0,0
1400000US24005403100,"Census Tract 4031, Baltimore County, Maryland",952,null,952,952,0,0,0
1400000US24005403201,"Census Tract 4032.01, Baltimore County, Maryland",1191,null,1191,1191,0,0,0
1400000US24005403202,"Census Tract 4032.02, Baltimore County, Maryland",795,null,795,795,0,0,0
1400000US24005403300,"Census Tract 4033, Baltimore County, Maryland",1068,null,1068,1068,0,0,0
1400000US24005403401,"Census Tract 4034.01, Baltimore County, Maryland",1926,null,1926,1926,0,0,0
1400000US24005403402,"Census Tract 4034.02, Baltimore County, Maryland",2205,T1_HU$1400000US24005403402,2205,2205,0,0,0
1400000US24005403500,"Census Tract 4035, Baltimore County, Maryland",1838,null,1838,1838,0,0,0
1400000US24005403601,"Census Tract 4036.01, Baltimore County, Maryland",2062,null,2062,2062,0,0,0
1400000US24005403602,"Census Tract 4036.02, Baltimore County, Maryland",2289,null,2289,2289,0,0,0
1400000US24005403701,"Census Tract 4037.01, Baltimore County, Maryland",3413,null,3195,3195,0,218,0
1400000US24005403702,"Census Tract 4037.02, Baltimore County, Maryland",2235,null,2235,2235,0,0,0
1400000US24005403801,"Census Tract 4038.01, Baltimore County, Maryland",659,null,443,443,0,216,0
1400000US24005403802,"Census Tract 4038.02, Baltimore County, Maryland",1178,null,1051,1051,0,127,0
1400000US24005403803,"Census Tract 4038.03, Baltimore County, Maryland",1615,null,1615,1615,0,0,0
1400000US24005404101,"Census Tract 4041.01, Baltimore County, Maryland",1873,null,1804,1804,0,69,0
1400000US24005404102,"Census Tract 4041.02, Baltimore County, Maryland",2187,null,2187,2187,0,0,0
1400000US24005404201,"Census Tract 4042.01, Baltimore County, Maryland",2308,null,2308,2308,0,0,0
1400000US24005404202,"Census Tract 4042.02, Baltimore County, Maryland",2914,null,2914,2914,0,0,0
1400000US24005404402,"Census Tract 4044.02, Baltimore County, Maryland",2351,null,2172,2172,0,179,0
1400000US24005404403,"Census Tract 4044.03, Baltimore County, Maryland",2079,null,2079,2079,0,0,0
1400000US24005404404,"Census Tract 4044.04, Baltimore County, Maryland",2019,null,2019,2019,0,0,0
1400000US24005404501,"Census Tract 4045.01, Baltimore County, Maryland",2590,null,2590,2590,0,0,0
1400000US24005404502,"Census Tract 4045.02, Baltimore County, Maryland",1598,null,1598,1598,0,0,0
1400000US24005404600,"Census Tract 4046, Baltimore County, Maryland",1096,null,260,260,0,836,0
1400000US24005404800,"Census Tract 4048, Baltimore County, Maryland",700,null,100,100,0,600,0
1400000US24005404900,"Census Tract 4049, Baltimore County, Maryland",1875,null,1461,1461,0,414,0
1400000US24005405000,"Census Tract 4050, Baltimore County, Maryland",1783,null,55,55,0,1728,0
1400000US24005406000,"Census Tract 4060, Baltimore County, Maryland",2072,null,17,0,17,2055,0
1400000US24005407001,"Census Tract 4070.01, Baltimore County, Maryland",1243,null,0,0,0,1243,0
1400000US24005407002,"Census Tract 4070.02, Baltimore County, Maryland",2012,null,0,0,0,2012,0
1400000US24005408100,"Census Tract 4081, Baltimore County, Maryland",2426,null,1860,1860,0,566,0
1400000US24005408200,"Census Tract 4082, Baltimore County, Maryland",752,null,0,0,0,752,0
1400000US24005408302,"Census Tract 4083.02, Baltimore County, Maryland",1248,null,1247,1247,0,1,0
1400000US24005408303,"Census Tract 4083.03, Baltimore County, Maryland",1166,null,984,984,0,182,0
1400000US24005408304,"Census Tract 4083.04, Baltimore County, Maryland",2401,null,1884,1884,0,517,0
1400000US24005408400,"Census Tract 4084, Baltimore County, Maryland",524,null,524,524,0,0,0
1400000US24005408502,"Census Tract 4085.02, Baltimore County, Maryland",2271,null,2217,2217,0,54,0
1400000US24005408503,"Census Tract 4085.03, Baltimore County, Maryland",1448,null,1448,1448,0,0,0
1400000US24005408505,"Census Tract 4085.05, Baltimore County, Maryland",1612,null,1612,1612,0,0,0
1400000US24005408506,"Census Tract 4085.06, Baltimore County, Maryland",2492,null,2492,2492,0,0,0
1400000US24005408507,"Census Tract 4085.07, Baltimore County, Maryland",3093,null,3093,3093,0,0,0
1400000US24005408601,"Census Tract 4086.01, Baltimore County, Maryland",1570,null,1570,1570,0,0,0
1400000US24005408602,"Census Tract 4086.02, Baltimore County, Maryland",865,null,865,865,0,0,0
1400000US24005408702,"Census Tract 4087.02, Baltimore County, Maryland",1082,null,1082,1082,0,0,0
1400000US24005408703,"Census Tract 4087.03, Baltimore County, Maryland",2852,null,2852,2852,0,0,0
1400000US24005408704,"Census Tract 4087.04, Baltimore County, Maryland",2064,null,2064,2064,0,0,0
1400000US24005408800,"Census Tract 4088, Baltimore County, Maryland",1083,null,1083,1083,0,0,0
1400000US24005408900,"Census Tract 4089, Baltimore County, Maryland",1269,null,1269,1269,0,0,0
1400000US24005410100,"Census Tract 4101, Baltimore County, Maryland",2219,null,636,636,0,1583,0
1400000US24005410200,"Census Tract 4102, Baltimore County, Maryland",1729,null,792,792,0,937,0
1400000US24005411101,"Census Tract 4111.01, Baltimore County, Maryland",841,null,364,364,0,477,0
1400000US24005411102,"Census Tract 4111.02, Baltimore County, Maryland",1193,null,585,585,0,608,0
1400000US24005411201,"Census Tract 4112.01, Baltimore County, Maryland",1251,null,0,0,0,1251,0
1400000US24005411202,"Census Tract 4112.02, Baltimore County, Maryland",1613,null,466,466,0,1147,0
1400000US24005411302,"Census Tract 4113.02, Baltimore County, Maryland",1189,null,1034,1034,0,155,0
1400000US24005411303,"Census Tract 4113.03, Baltimore County, Maryland",2781,null,2781,2781,0,0,0
1400000US24005411306,"Census Tract 4113.06, Baltimore County, Maryland",2302,null,2302,2302,0,0,0
1400000US24005411307,"Census Tract 4113.07, Baltimore County, Maryland",1594,null,1594,1594,0,0,0
1400000US24005411308,"Census Tract 4113.08, Baltimore County, Maryland",1395,null,1395,1395,0,0,0
1400000US24005411309,"Census Tract 4113.09, Baltimore County, Maryland",3104,null,3104,3104,0,0,0
1400000US24005411404,"Census Tract 4114.04, Baltimore County, Maryland",1418,null,1418,1418,0,0,0
1400000US24005411406,"Census Tract 4114.06, Baltimore County, Maryland",1830,null,1830,1830,0,0,0
1400000US24005411407,"Census Tract 4114.07, Baltimore County, Maryland",5898,null,5898,5898,0,0,0
1400000US24005411408,"Census Tract 4114.08, Baltimore County, Maryland",1561,null,1561,1561,0,0,0
1400000US24005411409,"Census Tract 4114.09, Baltimore County, Maryland",1889,null,1889,1889,0,0,0
1400000US24005411410,"Census Tract 4114.10, Baltimore County, Maryland",1756,null,1756,1756,0,0,0
1400000US24005420100,"Census Tract 4201, Baltimore County, Maryland",1414,null,1414,1414,0,0,0
1400000US24005420200,"Census Tract 4202, Baltimore County, Maryland",1156,null,1156,1156,0,0,0
1400000US24005420301,"Census Tract 4203.01, Baltimore County, Maryland",1085,null,1085,1085,0,0,0
1400000US24005420302,"Census Tract 4203.02, Baltimore County, Maryland",1045,null,1045,1045,0,0,0
1400000US24005420303,"Census Tract 4203.03, Baltimore County, Maryland",533,null,533,533,0,0,0
1400000US24005420401,"Census Tract 4204.01, Baltimore County, Maryland",2306,null,2306,2306,0,0,0
1400000US24005420402,"Census Tract 4204.02, Baltimore County, Maryland",824,null,824,824,0,0,0
1400000US24005420500,"Census Tract 4205, Baltimore County, Maryland",1465,null,1465,1465,0,0,0
1400000US24005420600,"Census Tract 4206, Baltimore County, Maryland",1575,null,1575,1575,0,0,0
1400000US24005420701,"Census Tract 4207.01, Baltimore County, Maryland",1257,null,1257,1257,0,0,0
1400000US24005420702,"Census Tract 4207.02, Baltimore County, Maryland",857,null,857,857,0,0,0
1400000US24005420800,"Census Tract 4208, Baltimore County, Maryland",1426,null,1426,1426,0,0,0
1400000US24005420900,"Census Tract 4209, Baltimore County, Maryland",1617,null,1617,1617,0,0,0
1400000US24005421000,"Census Tract 4210, Baltimore County, Maryland",971,null,971,971,0,0,0
1400000US24005421101,"Census Tract 4211.01, Baltimore County, Maryland",1472,null,1472,1472,0,0,0
1400000US24005421102,"Census Tract 4211.02, Baltimore County, Maryland",1012,null,1012,1012,0,0,0
1400000US24005421200,"Census Tract 4212, Baltimore County, Maryland",785,null,785,785,0,0,0
1400000US24005421300,"Census Tract 4213, Baltimore County, Maryland",1398,null,1398,1398,0,0,0
1400000US24005430101,"Census Tract 4301.01, Baltimore County, Maryland",1661,null,1661,1661,0,0,0
