OID_,Join_Count,TARGET_FID,JOIN_FID,FIPS,COUNTY,v023_rawvalue,OBJECTID,FIPS_1,State,County_1,Unemployed,FIPStext,Chg_Unempoyment,v058_rawvalue,Shape_length_1,Shape_area_1,Status,Score,Match_type,Match_addr,Addr_type,Facility_Name,Physical_Address,City,State_1,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type,Shape_Length,Shape_Area,Chg_Assault,chpNotSchoolNotLabFor_e1018,Chg_Median_Income,Chg_Over15Percent,chpPopPovU18_e1018
52,0,51,-1,13123,Gilmer County,4.227818546000000,61,13123,Georgia,Gilmer,6,13123,-2,87.643150007000003,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,201618.580951606592862,1655482118.379672288894653,-29,0.400000000000000,13654.209999999999127,9.804719644683567,5.100000000000000
53,0,52,-1,13187,Lumpkin County,3.589804954000000,93,13187,Georgia,Lumpkin,7,13187,-3,83.941800706999999,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,168198.315584866970312,1090282569.219373703002930,75,3.100000000000000,1233.139999999999418,1.600220476638130,-0.400000000000000
54,0,53,-1,13291,Union County,3.644470292000000,144,13291,Georgia,Union,6,13291,-2,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,201461.462591430114117,1267918240.175833463668823,2,-4.300000000000000,558.380000000004657,10.590596419699708,13.900000000000000
55,0,54,-1,13027,Brooks County,3.932424759000000,14,13027,Georgia,Brooks,6,13027,-2,71.039832543000003,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,251738.479232405952644,1754532237.909492015838623,46,2.000000000000000,-11641.709999999999127,2.299929535085180,24.500000000000000
56,0,55,-1,13065,Clinch County,4.555314534000000,32,13065,Georgia,Clinch,7,13065,-2,60.429538098999998,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,264863.344329699990340,2909440907.492076396942139,-5,-0.900000000000000,808.029999999998836,-2.099876018136104,9.400000000000000
57,0,56,-1,13101,Echols County,3.210526316000000,50,13101,Georgia,Echols,4,13101,-1,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,184083.917834821302677,1479127263.008338451385498,3,10.800000000000001,5909.900000000001455,3.199881951765401,-17.899999999999999
58,1,57,57,13049,Charlton County,4.287200832000000,24,13049,Georgia,Charlton,7,13049,-3,51.022923341999999,0.000000000000000,0.000000000000000,M,98.849999999999994,A,"3026 GA-252, Folkston, Georgia, 31537",StreetAddress,Folkston ICE Processing Center (Main),3026 Hwy 252 East,Folkston,,31537,,,1118,,ICE DETENTION FACILITY,368303.063630369026214,2756653509.851908206939697,-12,-7.200000000000000,-5868.500000000000000,-1.899934966586705,11.600000000000000
59,0,58,-1,13019,Berrien County,4.159422228000000,10,13019,Georgia,Berrien,7,13019,-3,76.143316394999999,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,226217.240569144487381,1627963058.729602813720703,21,3.500000000000000,3768.620000000002619,3.100035711842313,1.400000000000000
60,1,59,20,13071,Colquitt County,3.763166442000000,35,13071,Georgia,Colquitt,6,13071,-2,58.949843948999998,0.000000000000000,0.000000000000000,M,96.629999999999995,A,"200 S Vandenberg Dr, Moultrie, Georgia, 31788",StreetAddress,COLQUITT COUNTY CI,200 SOUTH VADENBERG DRIVE,MOULTRIE,,31768,ADULT MALE FELONS,1954,190,MEDIUM,CO. CORRECTIONAL INSTITUTION,202892.370895622443641,1976303673.934956312179565,26,4.100000000000000,-2354.379999999997381,-0.599901258253107,5.200000000000000
61,0,60,-1,13075,Cook County,3.778848592000000,37,13075,Georgia,Cook,8,13075,-4,59.412038113000001,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,159549.595367217611056,827188164.724765539169312,-25,9.800000000000001,3588.900000000001455,1.499969135003395,2.700000000000000
62,0,61,-1,13155,Irwin County,5.598802395000000,77,13155,Georgia,Irwin,10,13155,-4,64.709582721999993,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,189553.415100195998093,1299108808.978943586349487,-5,-5.000000000000000,-4183.439999999995052,3.500059183777460,5.900000000000000
63,0,62,-1,13277,Tift County,4.013032011000000,137,13277,Georgia,Tift,7,13277,-3,40.782192532000003,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,139936.090444957750151,959796377.062352180480957,33,-0.300000000000000,979.069999999999709,3.599993038251100,5.900000000000000
64,0,63,-1,13287,Turner County,5.086342229000000,142,13287,Georgia,Turner,8,13287,-3,49.731243001000003,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,154550.756347666319925,1040615861.434148550033569,7,6.800000000000000,-2093.970000000001164,6.299960620013796,22.800000000000001
65,0,64,-1,13003,Atkinson County,3.533731069000000,2,13003,Georgia,Atkinson,8,13003,-4,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,194685.119822569831740,1225313254.482887506484985,7,-7.500000000000000,-4559.459999999999127,1.999970723723213,8.699999999999999
66,1,65,26,13069,Coffee County,4.516542840000000,34,13069,Georgia,Coffee,8,13069,-3,66.583246766000002,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"1153 N Liberty St, Nicholls, Georgia, 31554",StreetAddress,COFFEE CORRECTIONAL FACILITY,1153 NORTH LIBERTY STREET,NICHOLLS,,31554,ADULT MALE FELONS,1998,2628,MEDIUM,PRIVATE PRISON,252998.413987004751107,2155202778.980733394622803,-34,-7.300000000000000,635.620000000002619,1.900104277919591,1.500000000000000
67,0,66,-1,13173,Lanier County,4.395318596000000,86,13173,Georgia,Lanier,6,13173,-2,71.125223258999995,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,145453.806270180910360,706797596.199863076210022,-38,-9.800000000000001,-12493.180000000000291,0.200051183601303,-3.800000000000000
68,0,67,-1,13017,Ben Hill County,5.882352941000000,9,13017,Georgia,Ben Hill,11,13017,-5,34.002495179999997,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,170425.801016852055909,912471308.366527318954468,-39,13.400000000000000,-3782.459999999999127,2.599977239696730,10.800000000000001
69,0,68,-1,13023,Bleckley County,5.708154506000000,12,13023,Georgia,Bleckley,7,13023,-1,51.588455944000003,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,135535.987671145354398,798665299.826540589332581,1,0.800000000000000,4555.410000000003492,-1.699836648232954,2.700000000000000
70,0,69,-1,13081,Crisp County,4.851579955000000,40,13081,Georgia,Crisp,8,13081,-3,47.028456845000001,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,141174.603839838207932,1013374835.175444841384888,23,-5.100000000000000,2619.599999999998545,9.999754902077081,-4.900000000000000
