OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1371,Census Tract 2608 - Location 12,833,12,1,,4.506491147,1.272971739,,,,,,0.016537331
1372,Census Tract 2609 - Location 12,834,12,1,,4.527438486,1.243184149,,,,,,0.016519454
1373,Census Tract 2610 - Location 12,835,12,1,,6.0353775,1.683454129,,,,,,0.022102676
1374,Census Tract 2611 - Location 12,836,12,1,,5.921240416,1.49559651,,,,,,0.020893402
1375,Census Tract 2701.01 - Location 11,837,11,1,,10.41911235,3.159086386,,,,,,0.042548262
1376,Census Tract 2701.02 - Location 11,838,11,1,,11.26743401,3.661940943,,,,,,0.052261761
1377,Census Tract 2702 - Location 11,839,11,1,,11.27739384,3.595250384,,,,,,0.046164838
1378,Census Tract 2703.01 - Location 11,840,11,1,,13.24976718,4.574363543,,,,,,0.054496181
1379,Census Tract 2703.02 - Location 11,841,11,1,,12.71332491,4.235373537,,,,,,0.054990254
1380,Census Tract 2704.01 - Location 11,842,11,1,,13.24660487,4.650661221,,,,,,0.0667513
1381,Census Tract 2704.02 - Location 11,843,11,1,,14.37626934,5.23251321,,,,,,0.065815314
1382,Census Tract 2705.01 - Location 1,844,1,1,,15.34088246,5.57824656,,,,,,0.075931274
1383,Census Tract 2705.02 - Location 11,845,11,1,,15.58194466,5.633587617,,,,,,0.076518314
1384,Census Tract 2706 - Location 1,846,1,1,,13.49950289,5.456064179,,,,,,0.053862392
1385,Census Tract 2707.01 - Location 1,847,1,1,,11.60185688,4.73175273,,,,,,0.048036285
1386,Census Tract 2707.02 - Location 1,848,1,1,,12.01797853,4.971752645,,,,,,0.053218167
1387,Census Tract 2707.03 - Location 1,849,1,1,,13.85491606,5.826376407,,,,,,0.059903619
1388,Census Tract 2708.01 - Location 1,850,1,1,,7.725882138,2.604112285,,,,,,0.027281172
1389,Census Tract 2708.02 - Location 1,851,1,1,,8.862597555,3.071289393,,,,,,0.032225226
1390,Census Tract 2708.03 - Location 1,852,1,1,,10.61220862,4.376283892,,,,,,0.040121295
1391,Census Tract 2708.04 - Location 1,853,1,1,,6.922353663,2.264840884,,,,,,0.020444694
1392,Census Tract 2708.05 - Location 1,854,1,1,,8.001084536,2.917463411,,,,,,0.029463613
1393,Census Tract 2709.01 - Location 1,855,1,1,,11.45263591,4.088565256,,,,,,0.041326483
1394,Census Tract 2709.02 - Location 11,856,11,1,,11.07957379,3.990652527,,,,,,0.053086719
1395,Census Tract 2709.03 - Location 11,857,11,1,,10.85905919,3.568083004,,,,,,0.044136092
1396,Census Tract 2710.01 - Location 11,858,11,1,,11.49087613,3.709210508,,,,,,0.045765409
1397,Census Tract 2710.02 - Location 1,859,1,1,,9.763069299,3.487973366,,,,,,0.038246694
1398,Census Tract 2711.01 - Location 1,860,1,1,,10.28525088,3.580539355,,,,,,0.038664213
1399,Census Tract 2711.02 - Location 1,861,1,1,,10.79970067,4.102089328,,,,,,0.046218488
1400,Census Tract 2712 - Location 1,862,1,1,,7.088052138,2.666800974,,,,,,0.026658843
1401,Census Tract 2713 - Location 1,863,1,1,,9.293775467,3.26810414,,,,,,0.037415272
1402,Census Tract 2714 - Location 1,864,1,1,,11.77010613,4.170901376,,,,,,0.047082705
1403,Census Tract 2715.01 - Location 1,865,1,1,,14.48578463,5.096730356,,,,,,0.05564879
1404,Census Tract 2715.03 - Location 1,866,1,1,,12.48317424,4.649764524,,,,,,0.049491517
1405,Census Tract 2716 - Location 11,867,11,1,,12.7270592,6.346396722,,,,,,0.084567777
1406,Census Tract 2717 - Location 11,868,11,1,,13.77714479,7.556682369,,,,,,0.092288557
1407,Census Tract 2718.01 - Location 11,869,11,1,,16.9943251,8.788099374,,,,,,0.10231497
1408,Census Tract 2718.02 - Location 17,870,17,1,,15.42658778,4.946972483,,,,,,0.062904314
1410,Census Tract 2719 - Location 11,871,11,1,,15.1456258,8.273059728,,,,,,0.105209291
1411,Census Tract 2720.03 - Location 11,872,11,1,,16.50479374,8.848364297,,,,,,0.111691285
1412,Census Tract 2720.04 - Location 1,873,1,1,,17.23004238,9.014463911,,,,,,0.080511072
1413,Census Tract 2720.05 - Location 1,874,1,1,,18.17039292,9.651223734,,,,,,0.092147231
1414,Census Tract 2720.06 - Location 11,875,11,1,,17.52402295,9.209677137,,,,,,0.118054459
1415,Census Tract 2720.07 - Location 1,876,1,1,,18.62799479,10.488719,,,,,,0.098627321
1416,Census Tract 2801.01 - Location 11,877,11,1,,17.57979062,9.628171046,,,,,,0.122218443
1417,Census Tract 2801.02 - Location 17,878,17,1,,17.52751955,6.064764484,,,,,,0.073425256
1419,Census Tract 2802 - Location 17,879,17,1,,15.98512566,5.668739981,,,,,,0.065444266
1421,Census Tract 2803.01 - Location 17,880,17,1,,12.89589109,4.843489707,,,,,,0.057080856
1423,Census Tract 2803.02 - Location 17,881,17,1,,14.13223697,4.422923078,,,,,,0.053353342
1425,Census Tract 2804.01 - Location 17,882,17,1,,10.42787293,3.446584416,,,,,,0.053810251
1427,Census Tract 2804.02 - Location 17,883,17,1,,9.782773429,2.945783518,,,,,,0.042667318
1429,Census Tract 2804.03 - Location 17,884,17,1,,10.78308533,3.546235496,,,,,,0.054269074
1431,Census Tract 2804.04 - Location 17,885,17,1,,8.952184002,3.029049236,,,,,,0.042640049
